Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Account__c,Autopilot__c,Battery__c,Billing_Status__c,Cancelled__c,Contact_Name__c,Delivery_Date__c,Hydraulic_System__c,Interior__c,Loan_Application__c,Manufacturing_Status__c,Model__c,Owner__c,Paint__c,Payment_Type__c,Prediction_Sample__c,Price__c,Rear_Seats__c,SAP_ID__c,Self_Driving__c,Spoiler__c,Status__c,Sunroof__c,Web_ID__c,Wheels__c,Year__c
a04P0000004SgftIAC,005P0000002j5xdIAA,,201911-00960,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtLIAX,1,100P kWh,Not Invoiced,,Shon Mayorca,,,Black Premium,,,Flare,003P000001FickqIAB,4150,Cash,1,58300,1,,,,Purchase,,,"19"" Onyx Black Spinners",2019
a04P0000004SgfuIAC,005P0000002j5xdIAA,,201911-00961,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtMIAX,1,100 kWh,Not Invoiced,,Elisa Eidinger,,,Cream Premium,,,Flint,003P000001FickrIAB,130,Loan,1,46500,,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgfvIAC,005P0000002j5xdIAA,,201911-00962,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtNIAX,,75 kWh,Not Invoiced,,Virgie Sickinger,,1,Black Premium,,,Flint,003P000001FicksIAB,4150,Cash,1,37400,1,,,,Purchase,,,"19"" Silver Wheels",2019
a04P0000004SgfwIAC,005P0000002j5xdIAA,,201911-00963,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtOIAX,,100P kWh,Not Invoiced,,Clora Tangen,,,Cream Premium,,,Flare,003P000001FicktIAB,130,Loan,1,53500,,,,,Purchase,1,,"19"" Silver Wheels",2019
a04P0000004SgfxIAC,005P0000002j5xdIAA,,201911-00964,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtPIAX,1,100P kWh,Not Invoiced,,Noma Pinkley,,,Black Textile,,,Flare,003P000001FickuIAB,130,Loan,1,58300,1,,,,Purchase,,,"19"" Onyx Black Spinners",2019
a04P0000004SgfyIAC,005P0000002j5xdIAA,,201911-00965,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtQIAX,,100P kWh,Not Invoiced,,Eliz Borowik,,1,White Premium,,,Flash,003P000001FickvIAB,1000,Cash,1,64600,,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgfzIAC,005P0000002j5xdIAA,,201911-00966,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtRIAX,1,100 kWh,Not Invoiced,,Claude Haran,,,White Premium,,,Flare,003P000001FickwIAB,130,Cash,1,55000,,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004Sgg0IAC,005P0000002j5xdIAA,,201911-00967,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtSIAX,,75 kWh,Not Invoiced,1,Cleora Glandon,,,White Premium,,,Flash,003P000001FickxIAB,55,Cash,1,56500,,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004Sgg1IAC,005P0000002j5xdIAA,,201911-00968,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtTIAX,1,75 kWh,Not Invoiced,,Philip Stegemann,,1,Light Premium,,,Flare,003P000001FickyIAB,4150,Cash,1,52600,,,,,Purchase,1,,"19"" Silver Wheels",2019
a04P0000004Sgg2IAC,005P0000002j5xdIAA,,201911-00969,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtUIAX,1,100 kWh,Not Invoiced,,Roselia Meers,,1,Black Textile,,,Flint,003P000001FickzIAB,1000,Cash,1,47400,1,,,,Purchase,,,"19"" Onyx Black Spinners",2019
a04P0000004Sgg3IAC,005P0000002j5xdIAA,,201911-00970,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtVIAX,,100P kWh,Not Invoiced,1,Blythe Mirles,,1,Black Premium,,,Flash,003P000001Ficl0IAB,1000,Cash,1,63100,,,,,Purchase,,,"19"" Silver Wheels",2019
a04P0000004Sgg4IAC,005P0000002j5xdIAA,,201911-00971,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtWIAX,1,100P kWh,Not Invoiced,1,Edris Lorandeau,,1,Cream Premium,,,Flare,003P000001Ficl1IAB,230,Cash,1,60900,1,,,,Purchase,1,,"19"" Onyx Black Spinners",2019
a04P0000004Sgg5IAC,005P0000002j5xdIAA,,201911-00972,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtXIAX,1,100P kWh,Not Invoiced,,Hank Harcourt,,1,Light Premium,,,Flash,003P000001Ficl2IAB,4150,Cash,1,68100,,,,,Purchase,,,"19"" Onyx Black Spinners",2019
a04P0000004Sgg6IAC,005P0000002j5xdIAA,,201911-00973,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtYIAX,1,100P kWh,Not Invoiced,1,Bernardina Villamayor,,,White Premium,,,Flash,003P000001Ficl3IAB,230,Loan,1,67000,,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004Sgg7IAC,005P0000002j5xdIAA,,201911-00974,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtZIAX,,100P kWh,Not Invoiced,,Ellan Mclaren,,,Cream Premium,,,Flint,003P000001Ficl4IAB,230,Cash,1,42000,,,,,Purchase,,,"19"" Onyx Black Spinners",2019
a04P0000004Sgg8IAC,005P0000002j5xdIAA,,201911-00975,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtaIAH,1,100P kWh,Not Invoiced,,Lavera Figuroa,,,Black Premium,,,Flint,003P000001Ficl5IAB,4150,Loan,1,47000,,,,,Purchase,,,"19"" Silver Wheels",2019
a04P0000004Sgg9IAC,005P0000002j5xdIAA,,201911-00976,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtbIAH,,100 kWh,Not Invoiced,1,Vinnie Walvoord,,1,Black Premium,,,Flare,003P000001Ficl6IAB,130,Cash,1,53900,1,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SggAIAS,005P0000002j5xdIAA,,201911-00977,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtcIAH,1,100 kWh,Not Invoiced,,Soraya Eastin,,1,Light Premium,,,Flare,003P000001Ficl7IAB,55,Cash,1,56100,,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004SggBIAS,005P0000002j5xdIAA,,201911-00978,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtdIAH,,75 kWh,Not Invoiced,1,Scotty Wish,,1,Light Premium,,,Flint,003P000001Ficl8IAB,1000,Cash,1,37400,1,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004SggCIAS,005P0000002j5xdIAA,,201911-00979,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJteIAH,,100 kWh,Not Invoiced,,Mervin Caetano,,1,Black Premium,,,Flash,003P000001Ficl9IAB,230,Loan,1,63900,1,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SggDIAS,005P0000002j5xdIAA,,201911-00980,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtfIAH,,100 kWh,Not Invoiced,,Sybil Williby,,1,Black Premium,,,Flint,003P000001FiclAIAR,1000,Cash,1,42600,,,,,Purchase,1,,"19"" Silver Wheels",2019
a04P0000004SggEIAS,005P0000002j5xdIAA,,201911-00981,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtgIAH,,100 kWh,Not Invoiced,,Tennille Jesiolowski,,,Black Textile,,,Flint,003P000001FiclBIAR,130,Cash,1,41500,,,,,Purchase,1,,"19"" Silver Wheels",2019
a04P0000004SggFIAS,005P0000002j5xdIAA,,201911-00982,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJthIAH,,100 kWh,Not Invoiced,1,Tiffani Aucoin,,,Black Premium,,,Flash,003P000001FiclCIAR,130,Cash,1,60000,,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004SggGIAS,005P0000002j5xdIAA,,201911-00983,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtiIAH,,100 kWh,Not Invoiced,,Marget Sirosky,,1,White Premium,,,Flare,003P000001FiclDIAR,130,Loan,1,53900,1,,,,Purchase,1,,"19"" Onyx Black Spinners",2019
a04P0000004SggHIAS,005P0000002j5xdIAA,,201911-00984,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtjIAH,1,75 kWh,Not Invoiced,,Marjory Gerula,,,Light Premium,,,Flash,003P000001FiclEIAR,4150,Loan,1,62800,1,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SggIIAS,005P0000002j5xdIAA,,201911-00985,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtkIAH,1,100 kWh,Not Invoiced,,Bennie Cumbie,,,Cream Premium,,,Flash,003P000001FiclFIAR,4150,Cash,1,65000,,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004SggJIAS,005P0000002j5xdIAA,,201911-00986,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtlIAH,1,100P kWh,Not Invoiced,,Mittie Mcconnell,,1,Black Textile,,,Flint,003P000001FiclGIAR,130,Cash,1,50900,1,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SggKIAS,005P0000002j5xdIAA,,201911-00987,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtmIAH,,75 kWh,Not Invoiced,,Scott Slomski,,,White Premium,,,Flash,003P000001FiclHIAR,130,Loan,1,56300,1,,,,Purchase,,,"19"" Silver Wheels",2019
a04P0000004SggLIAS,005P0000002j5xdIAA,,201911-00988,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtnIAH,1,75 kWh,Not Invoiced,,Taunya Havely,,1,Black Premium,,,Flash,003P000001FiclIIAR,130,Cash,1,61100,,,,,Purchase,,,"19"" Silver Wheels",2019
a04P0000004SggMIAS,005P0000002j5xdIAA,,201911-00989,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtoIAH,,100 kWh,Not Invoiced,,Joleen Raith,,,Black Premium,,,Flint,003P000001FiclJIAR,1000,Loan,1,42800,1,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SggNIAS,005P0000002j5xdIAA,,201911-00990,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtpIAH,1,100 kWh,Not Invoiced,1,Sarah Pina,,1,Black Premium,,,Flash,003P000001FiclKIAR,1000,Cash,1,67600,,,,,Purchase,1,,"19"" Onyx Black Spinners",2019
a04P0000004SggOIAS,005P0000002j5xdIAA,,201911-00991,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtqIAH,,75 kWh,Not Invoiced,1,Keshia Lairsey,,,Black Textile,,,Flash,003P000001FiclLIAR,1000,Cash,1,57800,1,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SggPIAS,005P0000002j5xdIAA,,201911-00992,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtrIAH,1,100 kWh,Not Invoiced,,Brigid Streczywilk,,,White Premium,,,Flare,003P000001FiclMIAR,230,Cash,1,57800,1,,,,Purchase,1,,"19"" Onyx Black Spinners",2019
a04P0000004SggQIAS,005P0000002j5xdIAA,,201911-00993,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtsIAH,1,75 kWh,Not Invoiced,1,Ruthanne Lumpkin,,,White Premium,,,Flint,003P000001FiclNIAR,4150,Cash,1,41500,,,,,Purchase,1,,"19"" Silver Wheels",2019
a04P0000004SggRIAS,005P0000002j5xdIAA,,201911-00994,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJttIAH,,75 kWh,Not Invoiced,,Elenora Holifield,,1,Black Premium,,,Flash,003P000001FiclOIAR,0,Loan,1,58900,1,,,,Purchase,1,,"19"" Silver Wheels",2019
a04P0000004SggSIAS,005P0000002j5xdIAA,,201911-00995,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtuIAH,1,75 kWh,Not Invoiced,,Cynthia Merica,,,Cream Premium,,,Flash,003P000001FiclPIAR,1000,Cash,1,61300,1,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004SggTIAS,005P0000002j5xdIAA,,201911-00996,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtvIAH,,75 kWh,Not Invoiced,1,Asha Mutolo,,1,Cream Premium,,,Flare,003P000001FiclQIAR,1000,Cash,1,46100,,,,,Purchase,,,"19"" Silver Wheels",2019
a04P0000004SggUIAS,005P0000002j5xdIAA,,201911-00997,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtwIAH,1,100 kWh,Not Invoiced,,Zandra Stabell,,,Light Premium,,,Flare,003P000001FiclRIAR,55,Cash,1,55000,,,,,Purchase,,,"19"" Silver Wheels",2019
a04P0000004SggVIAS,005P0000002j5xdIAA,,201911-00998,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtxIAH,,100P kWh,Not Invoiced,,Misty Rhea,,,Light Premium,,,Flash,003P000001FiclSIAR,130,Cash,1,63500,,,,,Purchase,1,,"19"" Onyx Black Spinners",2019
a04P0000004SggWIAS,005P0000002j5xdIAA,,201911-00999,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtyIAH,,100 kWh,Not Invoiced,1,Vickey Bendana,,1,Cream Premium,,,Flash,003P000001FiclTIAR,55,Cash,1,62600,,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SggXIAS,005P0000002j5xdIAA,,201911-01000,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJtzIAH,1,75 kWh,Not Invoiced,1,Verda Bachmeier,,1,Black Premium,,,Flare,003P000001Ficf2IAB,4150,Cash,1,52400,1,,,,Purchase,,,"19"" Onyx Black Spinners",2019
a04P0000004SggYIAS,005P0000002j5xdIAA,,201911-01001,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJu0IAH,,100P kWh,Not Invoiced,,Hermila Krell,,,Cream Premium,,,Flare,003P000001Ficf3IAB,1000,Cash,1,53500,,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SggZIAS,005P0000002j5xdIAA,,201911-01002,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJu1IAH,1,100P kWh,Not Invoiced,,Sanda Smerkar,,1,Light Premium,,,Flare,003P000001Ficf4IAB,130,Cash,1,58100,,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004SggaIAC,005P0000002j5xdIAA,,201911-01003,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJu2IAH,,100P kWh,Not Invoiced,,Carlos Lebsock,,,Light Premium,,,Flash,003P000001Ficf5IAB,55,Loan,1,64800,1,,,,Purchase,1,,"19"" Onyx Black Spinners",2019
a04P0000004SggbIAC,005P0000002j5xdIAA,,201911-01004,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJu3IAH,1,100 kWh,Not Invoiced,,Brittney Destasio,,1,Light Premium,,,Flare,003P000001Ficf6IAB,1000,Loan,1,57400,1,,,,Purchase,,,"19"" Silver Wheels",2019
a04P0000004SggcIAC,005P0000002j5xdIAA,,201911-01005,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJu4IAH,1,100P kWh,Not Invoiced,,Lucius Imbert,,1,Light Premium,,,Flare,003P000001Ficf7IAB,4150,Cash,1,58100,,,,,Purchase,,,"19"" Silver Wheels",2019
a04P0000004SggdIAC,005P0000002j5xdIAA,,201911-01006,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJu5IAH,1,100 kWh,Not Invoiced,,Carry Followell,,1,Black Premium,,,Flash,003P000001Ficf8IAB,0,Loan,1,68900,1,,,,Purchase,1,,"19"" Silver Wheels",2019
a04P0000004SggeIAC,005P0000002j5xdIAA,,201911-01007,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJu6IAH,,75 kWh,Not Invoiced,1,Keven Koenigsfeld,,1,Cream Premium,,,Flare,003P000001Ficf9IAB,0,Cash,1,46100,,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004SggfIAC,005P0000002j5xdIAA,,201911-01008,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJu7IAH,1,75 kWh,Not Invoiced,1,Dave Langlands,,1,Black Premium,,,Flash,003P000001FicfAIAR,4150,Cash,1,62600,,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgggIAC,005P0000002j5xdIAA,,201911-01009,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJu8IAH,,75 kWh,Not Invoiced,,Inga Folkens,,,Black Premium,,,Flare,003P000001FicfBIAR,1000,Loan,1,47800,1,,,,Purchase,1,,"19"" Onyx Black Spinners",2019
a04P0000004SgghIAC,005P0000002j5xdIAA,,201911-01010,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJu9IAH,1,100 kWh,Not Invoiced,,Morgan Sensel,,,White Premium,,,Flare,003P000001FicfCIAR,4150,Loan,1,56300,1,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004SggiIAC,005P0000002j5xdIAA,,201911-01011,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJuAIAX,1,100 kWh,Not Invoiced,,Robbyn Brutsch,,1,Black Premium,,,Flare,003P000001FicfDIAR,1000,Cash,1,58900,1,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SggjIAC,005P0000002j5xdIAA,,201911-01012,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJuBIAX,,75 kWh,Not Invoiced,,Claud Rock,,,Light Premium,,,Flash,003P000001FicfEIAR,230,Cash,1,56500,,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SggkIAC,005P0000002j5xdIAA,,201911-01013,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJuCIAX,1,100P kWh,Not Invoiced,,Kimberely Kiracofe,,1,Black Textile,,,Flash,003P000001FicfFIAR,230,Loan,1,69400,1,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgglIAC,005P0000002j5xdIAA,,201911-01014,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJuDIAX,,100P kWh,Not Invoiced,,Lorrine Rester,,1,Light Premium,,,Flash,003P000001FicfGIAR,4150,Loan,1,65900,1,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SggmIAC,005P0000002j5xdIAA,,201911-01015,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJuEIAX,1,100P kWh,Not Invoiced,1,Danette Amison,,1,Black Premium,,,Flash,003P000001FicfHIAR,130,Loan,1,68100,,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004SggnIAC,005P0000002j5xdIAA,,201911-01016,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJuFIAX,1,100 kWh,Not Invoiced,,Hedy Parmantier,,1,Light Premium,,,Flint,003P000001FicfIIAR,4150,Cash,1,47400,1,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004SggoIAC,005P0000002j5xdIAA,,201911-01017,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJuGIAX,1,100P kWh,Not Invoiced,,Robin Rosol,,,Light Premium,,,Flint,003P000001FicfJIAR,230,Loan,1,48300,1,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004SggpIAC,005P0000002j5xdIAA,,201911-01018,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJuHIAX,,100P kWh,Not Invoiced,,Natashia Riscen,,1,Light Premium,,,Flare,003P000001FicfKIAR,0,Cash,1,54400,1,,,,Purchase,,,"19"" Onyx Black Spinners",2019
a04P0000004SggqIAC,005P0000002j5xdIAA,,201911-01019,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJuIIAX,1,75 kWh,Not Invoiced,,Nancee Macgregor,,,Black Textile,,,Flare,003P000001FicfLIAR,230,Cash,1,51300,1,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004SggrIAC,005P0000002j5xdIAA,,201911-01020,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:13.000+0000,,,,001P000001SUJuJIAX,1,100 kWh,Not Invoiced,,Phyllis Golt,,1,Black Textile,,,Flash,003P000001FicfMIAR,4150,Loan,1,67600,,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
